analysis,detector,threshold,group,value,count,n_group
flag_all_7,all_7,0.75,non-native,0.0769,7.0,91.0
flag_all_7,all_7,0.75,native,0.0,0.0,158.0
flag_ge4_of_7,ge4_of_7,0.75,non-native,0.4066,37.0,91.0
flag_ge4_of_7,ge4_of_7,0.75,native,0.0063,1.0,158.0
fpr_by_detector,HFOpenAI,0.9,non-native,0.3187,29.0,91.0
fpr_by_detector,HFOpenAI,0.9,native,0.019,3.0,158.0
fpr_gap_fold,HFOpenAI,0.9,non-native/native,16.78,,
fpr_by_detector,GPTZero,0.9,non-native,0.1429,13.0,91.0
fpr_by_detector,GPTZero,0.9,native,0.0063,1.0,158.0
fpr_gap_fold,GPTZero,0.9,non-native/native,22.57,,
fpr_by_detector,Crossplag,0.9,non-native,0.2637,24.0,91.0
fpr_by_detector,Crossplag,0.9,native,0.0316,5.0,158.0
fpr_gap_fold,Crossplag,0.9,non-native/native,8.33,,
fpr_by_detector,ZeroGPT,0.9,non-native,0.1429,13.0,91.0
fpr_by_detector,ZeroGPT,0.9,native,0.0,0.0,158.0
fpr_gap_fold,ZeroGPT,0.9,non-native/native,inf,,
fpr_by_detector,OriginalityAI,0.9,non-native,0.6044,55.0,91.0
fpr_by_detector,OriginalityAI,0.9,native,0.0,0.0,158.0
fpr_gap_fold,OriginalityAI,0.9,non-native/native,inf,,
fpr_by_detector,Quil,0.9,non-native,0.5165,47.0,91.0
fpr_by_detector,Quil,0.9,native,0.019,3.0,158.0
fpr_gap_fold,Quil,0.9,non-native/native,27.2,,
fpr_by_detector,Sapling,0.9,non-native,0.6813,62.0,91.0
fpr_by_detector,Sapling,0.9,native,0.0253,4.0,158.0
fpr_gap_fold,Sapling,0.9,non-native/native,26.91,,
fpr_pooled_mean7,mean_of_7,0.9,non-native,0.3815,,91.0
fpr_pooled_mean7,mean_of_7,0.9,native,0.0145,,158.0
fpr_pooled_gap_fold,mean_of_7,0.9,non-native/native,26.37,,
flag_all_7,all_7,0.9,non-native,0.044,4.0,91.0
flag_all_7,all_7,0.9,native,0.0,0.0,158.0
flag_ge4_of_7,ge4_of_7,0.9,non-native,0.2967,27.0,91.0
flag_ge4_of_7,ge4_of_7,0.9,native,0.0,0.0,158.0
