threshold,quantity,estimate,ci_lo,ci_hi,n
0.25,pooled_rate_nonnative,0.6875981161695447,0.631083202511774,0.7425431711145997,91
0.25,pooled_rate_native,0.06600361663652803,0.04701627486437613,0.08589511754068717,158
0.25,fold_gap,10.417582417582418,7.899046008936119,14.822609655301964,249
0.25,unanimous_share_nonnative,0.2857142857142857,0.2030608259873361,0.3857272163906922,91
0.25,unanimous_share_native,0.0,0.0,0.02307689798971957,158
0.5,pooled_rate_nonnative,0.6122448979591837,0.5510204081632654,0.6703689167974877,91
0.5,pooled_rate_native,0.03616636528028933,0.020795660036166366,0.05334538878842676,158
0.5,fold_gap,16.928571428571427,11.356701328422641,30.120401337792636,249
0.5,unanimous_share_nonnative,0.1978021978021978,0.12894356976415927,0.2911421310253677,91
0.5,unanimous_share_native,0.0,0.0,0.02307689798971957,158
0.5,consistency_r_HFOpenAI_vs_local_rerun,0.9985764016273775,,,249
0.5,independent2_pooled_rate_nonnative,0.510989010989011,,,91
0.5,independent2_pooled_rate_native,0.06645569620253164,,,158
