institution,state,url,detector_admissibility,burden_of_proof,appeal_pathway,l2_protection,decision_locus,coder
University of Hawaii at Manoa,HI,https://hawaii.edu,silent,unspecified,none,none,delegated,second_coder
University of Idaho,ID,https://uidaho.edu,silent,unspecified,none,none,delegated,second_coder
University of Iowa,IA,https://uiowa.edu,advisory,unspecified,none,none,delegated,second_coder
University of Maine,ME,https://umaine.edu,silent,unspecified,none,none,delegated,second_coder
University of Missouri,MO,https://missouri.edu,silent,unspecified,none,none,delegated,second_coder
University of North Dakota,ND,https://und.edu,silent,unspecified,formal,none,delegated,second_coder
University of Rhode Island,RI,https://libguides.com,advisory,unspecified,none,explicit,delegated,second_coder
University of South Carolina,SC,https://sc.edu,silent,unspecified,none,none,delegated,second_coder
University of South Dakota,SD,https://usd.edu,silent,unspecified,none,none,delegated,second_coder
University of Tennessee Knoxville,TN,https://utk.edu,silent,unspecified,none,none,silent,second_coder
