outcome,kind,event_q,coef,se,ci_lo,ci_hi,pval
ai_addressed,event_coef,-7.0,0.0045668708941948855,0.01874546129515768,-0.032173558117903726,0.0413072999062935,0.8075209385342347
ai_addressed,event_coef,-6.0,2.0599841277224584e-15,6.88321932449811e-10,-1.3490841373865136e-09,1.349088257354769e-09,0.9999976121209372
ai_addressed,event_coef,-5.0,8.952830791773369e-16,,,,
ai_addressed,event_coef,-4.0,3.86843335142828e-16,1.9921686556141192e-09,-3.904578429289917e-09,3.904579202976587e-09,0.9999998450651637
ai_addressed,event_coef,-3.0,5.184428939395016e-16,1.4010111347593904e-09,-2.7459308476251034e-09,2.7459318845108913e-09,0.9999997047435453
ai_addressed,event_coef,-2.0,4.718447854656915e-16,1.8595780155036315e-09,-3.6447054649847984e-09,3.6447064086743693e-09,0.9999997975467196
ai_addressed,event_coef,0.0,5.863365348801608e-16,1.673215749141122e-09,-3.27944202034527e-09,3.27944319301834e-09,0.9999997204013477
ai_addressed,event_coef,1.0,0.013852841712389307,0.01213894992056298,-0.009939062942049484,0.037644746366828095,0.25379108924038174
ai_addressed,event_coef,2.0,-0.004169064844604237,0.023397141873355974,-0.05002662025755596,0.04168849056834749,0.8585761750444896
ai_addressed,event_coef,3.0,-0.058820722668051134,0.05797086086538253,-0.17244152211698338,0.0548000767808811,0.31026785376041055
ai_addressed,event_coef,4.0,-0.05882072266805135,0.05797086086538243,-0.17244152211698338,0.05480007678088069,0.3102678537604079
ai_addressed,event_coef,5.0,-0.0802390599372366,0.07370628483258376,-0.2247007236433516,0.06422260376887842,0.276315962052624
ai_addressed,event_coef,6.0,-0.10888971224515337,0.07678926972239433,-0.2593939153001783,0.04161449080987156,0.15618115428719254
ai_addressed,event_coef,7.0,-0.026381578090046046,0.0954467659641156,-0.21345380182053605,0.16069064564044397,0.7822401166524697
ai_addressed,event_coef,8.0,-0.07106367058409059,0.09557195609904101,-0.2583812624702541,0.11625392130207295,0.45714152648403816
ai_addressed,event_coef,-1.0,0.0,0.0,0.0,0.0,
