unitid,year,pell_share
114415,2009,45.0
114433,2009,40.0
114460,2009,75.0
114628,2009,11.0
114716,2009,15.0
114761,2009,73.0
114789,2009,64.0
114813,2009,52.0
114859,2009,34.0
114895,2009,71.0
114938,2009,34.0
114947,2009,22.0
115001,2009,47.0
115010,2009,59.0
115126,2009,37.0
115296,2009,31.0
115357,2009,91.0
115393,2009,53.0
115409,2009,12.0
115454,2009,81.0
115472,2009,94.0
115490,2009,79.0
115515,2009,79.0
115533,2009,72.0
115658,2009,90.0
115728,2009,50.0
115755,2009,35.0
115773,2009,40.0
115861,2009,70.0
115931,2009,54.0
116040,2009,39.0
116350,2009,69.0
116439,2009,19.0
116466,2009,68.0
116475,2009,68.0
116484,2009,75.0
116563,2009,66.0
116846,2009,23.0
117052,2009,48.0
117104,2009,43.0
117113,2009,58.0
117140,2009,48.0
117168,2009,35.0
117195,2009,34.0
117238,2009,86.0
117247,2009,42.0
117274,2009,36.0
117557,2009,41.0
117575,2009,100.0
117627,2009,43.0
117645,2009,55.0
117690,2009,48.0
117706,2009,40.0
117715,2009,71.0
117724,2009,49.0
117733,2009,51.0
117751,2009,20.0
117788,2009,47.0
117867,2009,43.0
117894,2009,29.0
117928,2009,63.0
117946,2009,16.0
117955,2009,24.0
118116,2009,93.0
118125,2009,56.0
118134,2009,97.0
118143,2009,77.0
118161,2009,44.0
118189,2009,85.0
118198,2009,78.0
118259,2009,64.0
118277,2009,45.0
118286,2009,54.0
118347,2009,33.0
118356,2009,77.0
118541,2009,25.0
118684,2009,48.0
118693,2009,28.0
118718,2009,63.0
118772,2009,54.0
118888,2009,37.0
118912,2009,16.0
118921,2009,77.0
118930,2009,29.0
118958,2009,69.0
118967,2009,55.0
118976,2009,40.0
118994,2009,82.0
119067,2009,33.0
119137,2009,12.0
119164,2009,27.0
119173,2009,66.0
119216,2009,38.0
119234,2009,53.0
119270,2009,52.0
119331,2009,29.0
119340,2009,76.0
119359,2009,86.0
119368,2009,92.0
119438,2009,80.0
119456,2009,88.0
119465,2009,91.0
119508,2009,91.0
119544,2009,50.0
119553,2009,64.0
119605,2009,55.0
119775,2009,62.0
119845,2009,57.0
119951,2009,98.0
120069,2009,89.0
120078,2009,82.0
120087,2009,82.0
120166,2009,0.0
120184,2009,47.0
120254,2009,18.0
120272,2009,35.0
120290,2009,24.0
120342,2009,23.0
120403,2009,43.0
120421,2009,55.0
120537,2009,42.0
120661,2009,71.0
120838,2009,0.0
120865,2009,33.0
120883,2009,34.0
120953,2009,43.0
120971,2009,21.0
121008,2009,79.0
121017,2009,44.0
121044,2009,40.0
