event_time,att
-10,-1.092231
-9,1.77504
-8,-0.36788
-7,-0.135045
-6,0.42813
-5,-0.473085
-4,-0.17191
-3,0.07736
-2,-1.318217
-1,0.0
0,-1.867808
1,-2.976313
2,-4.067575
3,-3.532176
