year,real,synth
2009,28.625,28.5992
2010,31.689,32.1634
2011,35.314,35.0072
2012,36.958,36.9519
2013,36.25,37.4884
2014,39.615,39.8939
2015,43.499,42.1291
2016,45.646,45.1822
2017,49.718,45.348
2018,51.297,45.7946
2019,49.016,48.5471
