outcome,group,att,se,z,n
share_urm,more-selective (admit<med),1.047,0.522,2.01,115
share_urm,less-selective (admit>=med),0.453,0.522,0.87,115
share_urm,higher-minority (URM>=med),0.214,0.631,0.34,118
share_urm,lower-minority (URM<med),1.046,0.427,2.45,117
pell_share,more-selective (admit<med),0.677,0.695,0.97,115
pell_share,less-selective (admit>=med),1.752,0.562,3.12,115
pell_share,higher-minority (URM>=med),1.674,0.628,2.67,118
pell_share,lower-minority (URM<med),0.276,0.769,0.36,117
