year,real,synth
2009,47.01,50.0672
2010,49.74,54.9537
2011,56.65,54.449
2012,54.52,57.9297
2013,65.32,64.1321
2014,66.83,65.3959
2015,70.07,68.145
2016,66.13,66.9725
2017,70.66,67.2704
2018,70.91,76.7352
2019,76.31,66.1441
