event_time,att
-10,-1.0939335301554023
-9,-1.4956731156071272
-8,-1.2453086518476064
-7,-1.208594404229782
-6,-1.2354042843033124
-5,-0.6683209012523159
-4,-0.9344026289962458
-3,-0.5293994116686073
-2,-0.3712190437135341
-1,0.0
0,-0.013048240126603137
1,0.5166567333383575
2,0.15112110173993412
3,0.818512293594629
