year,real,synth
2009,14.043,14.2666
2010,16.089,16.0478
2011,19.054,18.1006
2012,16.045,16.7277
2013,15.789,16.1641
2014,16.929,17.3276
2015,17.69,17.9824
2016,22.495,16.7761
2017,19.923,17.4425
2018,22.214,18.5184
2019,22.757,21.9018
