year,real,synth
2009,37.37,37.3131
2010,36.75,36.4762
2011,31.69,32.0199
2012,33.0,32.6686
2013,33.08,33.2943
2014,43.79,44.452
2015,46.46,45.6322
2016,40.21,44.9307
2017,40.98,46.9675
2018,41.87,49.0203
2019,40.84,50.2369
