unitid,adoption_year,cohort,n_years_pre,ever_required
181428,,never,0,0
181446,2020,covid,11,1
181464,2020,covid,11,1
181534,,never,0,0
181543,,never,0,1
181604,2022,post,13,1
181738,2021,covid,12,1
181747,,never,0,0
181783,,never,0,0
181853,2020,covid,11,1
182005,,never,0,0
182148,,never,0,0
182281,2022,post,13,1
182290,,never,0,1
182306,,never,0,0
182458,2020,covid,9,1
182500,,never,0,0
182519,,never,0,0
182564,,never,0,0
182634,,never,0,0
182670,2021,covid,12,1
182795,2016,pre_covid,7,1
182829,,never,0,0
182917,2022,post,8,1
182980,,never,0,0
183026,,never,0,1
183044,2019,pre_covid,10,1
183062,2016,pre_covid,7,1
183071,2019,pre_covid,10,1
183080,,never,0,1
183211,,never,0,1
183239,2016,pre_covid,7,1
183257,,never,0,0
183275,2017,pre_covid,3,1
183327,,never,0,0
183789,,never,0,0
183804,,never,0,0
183822,2017,pre_covid,8,1
183910,2020,covid,11,1
183974,2020,covid,11,1
184348,2022,post,13,1
184603,2022,post,13,1
184612,2020,covid,11,1
184694,2022,post,13,1
184773,2020,covid,11,1
184782,2020,covid,11,1
184959,,never,0,0
185129,2021,covid,12,1
185262,2020,covid,11,1
185572,2020,covid,11,1
185590,2016,pre_covid,7,1
185758,,never,0,0
185828,2020,covid,11,1
186122,,never,0,0
186131,2021,covid,12,1
186186,,never,0,0
186201,2021,covid,12,1
186283,2018,pre_covid,9,1
186371,2020,covid,11,1
186380,2020,covid,11,1
186399,2020,covid,11,1
186432,2016,pre_covid,7,1
186584,2021,covid,12,1
186618,2019,pre_covid,10,1
186867,2016,pre_covid,7,1
186876,2019,pre_covid,10,1
186900,,never,0,0
187046,,never,0,0
187134,2020,covid,11,1
187444,2022,post,13,1
187596,,never,0,0
187648,2022,post,13,1
187745,2022,post,9,1
187897,,never,0,0
187967,2022,post,13,1
187985,2021,covid,12,1
188030,2021,covid,12,1
188058,,never,0,0
188182,2016,pre_covid,1,1
188207,,never,0,0
188304,,never,0,0
188340,,never,0,1
188429,2021,covid,12,1
188517,,never,0,0
188526,2021,covid,12,1
188535,,never,0,0
188580,,never,0,0
188641,2020,covid,11,1
188854,2022,post,13,1
188942,,never,0,0
189015,,never,0,0
