corpus,family,protocol,dimension,group,metric,value,ci_lo,ci_hi,n
persuade,handfeat,oof,race_ethnicity,Black/African American - White,conditional_differential,-0.0162,-0.0336,0.003,4958
persuade,handfeat,oof,race_ethnicity,Asian/Pacific Islander - White,raw_differential,0.0157,-0.0197,0.0506,1743
persuade,handfeat,oof,race_ethnicity,Asian/Pacific Islander - White,conditional_differential,0.1675,0.142,0.1943,1743
persuade,handfeat,lopo,ell_status,No,mean_human,3.3528,,,22451
persuade,handfeat,lopo,ell_status,No,mean_machine,3.3393,,,22451
persuade,handfeat,lopo,ell_status,No,mean_gap,-0.0135,,,22451
persuade,handfeat,lopo,ell_status,No,smd,-0.0127,,,22451
persuade,handfeat,lopo,ell_status,No,qwk,0.7826,,,22451
persuade,handfeat,lopo,ell_status,No,exact,0.3097,,,22451
persuade,handfeat,lopo,ell_status,No,pearson_r,0.8071,,,22451
persuade,handfeat,lopo,ell_status,No,rmse,0.6888,,,22451
persuade,handfeat,lopo,ell_status,Yes,mean_human,2.6912,,,2244
persuade,handfeat,lopo,ell_status,Yes,mean_machine,3.0692,,,2244
persuade,handfeat,lopo,ell_status,Yes,mean_gap,0.378,,,2244
persuade,handfeat,lopo,ell_status,Yes,smd,0.414,,,2244
persuade,handfeat,lopo,ell_status,Yes,qwk,0.583,,,2244
persuade,handfeat,lopo,ell_status,Yes,exact,0.2946,,,2244
persuade,handfeat,lopo,ell_status,Yes,pearson_r,0.6495,,,2244
persuade,handfeat,lopo,ell_status,Yes,rmse,0.8619,,,2244
persuade,handfeat,lopo,ell_status,Yes - No,raw_differential,0.3915,0.361,0.4246,2244
persuade,handfeat,lopo,ell_status,Yes - No,conditional_differential,0.1421,0.1154,0.1683,2244
persuade,handfeat,lopo,economically_disadvantaged,Not economically disadvantaged,mean_human,3.6478,,,11116
persuade,handfeat,lopo,economically_disadvantaged,Not economically disadvantaged,mean_machine,3.5044,,,11116
persuade,handfeat,lopo,economically_disadvantaged,Not economically disadvantaged,mean_gap,-0.1434,,,11116
persuade,handfeat,lopo,economically_disadvantaged,Not economically disadvantaged,smd,-0.1334,,,11116
persuade,handfeat,lopo,economically_disadvantaged,Not economically disadvantaged,qwk,0.8127,,,11116
persuade,handfeat,lopo,economically_disadvantaged,Not economically disadvantaged,exact,0.3149,,,11116
persuade,handfeat,lopo,economically_disadvantaged,Not economically disadvantaged,pearson_r,0.8433,,,11116
persuade,handfeat,lopo,economically_disadvantaged,Not economically disadvantaged,rmse,0.6472,,,11116
persuade,handfeat,lopo,economically_disadvantaged,Economically disadvantaged,mean_human,2.9787,,,9643
