corpus,family,protocol,dimension,group,cutoff,human_pass,machine_pass,demotion_rate,promotion_rate,n,ci_lo,ci_hi
persuade,embed,oof,economically_disadvantaged,Not economically disadvantaged,5,0.245,0.1869,0.4278,0.062,11116,,
persuade,embed,oof,economically_disadvantaged,Economically disadvantaged - Not economically disadvantaged,5,,,0.1151,,9643,0.0766,0.1538
persuade,embed,oof,student_disability_status,Identified as having disability,3,0.5495,0.609,0.1002,0.2543,2688,,
persuade,embed,oof,student_disability_status,Not identified as having disability,3,0.7681,0.806,0.0638,0.3747,18135,,
persuade,embed,oof,student_disability_status,Identified as having disability - Not identified as having disability,3,,,0.0365,,2688,0.0213,0.0526
persuade,embed,oof,student_disability_status,Identified as having disability,4,0.2411,0.2991,0.1265,0.1167,2688,,
persuade,embed,oof,student_disability_status,Not identified as having disability,4,0.4475,0.4774,0.1221,0.153,18135,,
persuade,embed,oof,student_disability_status,Identified as having disability - Not identified as having disability,4,,,0.0044,,2688,-0.0213,0.0322
persuade,embed,oof,student_disability_status,Identified as having disability,5,0.083,0.0677,0.4709,0.026,2688,,
persuade,embed,oof,student_disability_status,Not identified as having disability,5,0.1831,0.1385,0.4535,0.0471,18135,,
persuade,embed,oof,student_disability_status,Identified as having disability - Not identified as having disability,5,,,0.0174,,2688,-0.0504,0.0833
persuade,embed,oof,gender,F,3,0.7785,0.827,0.0543,0.4098,13141,,
persuade,embed,oof,gender,M,3,0.7031,0.7504,0.0741,0.3346,12854,,
persuade,embed,oof,gender,F - M,3,,,-0.0199,,13141,-0.0267,-0.0128
persuade,embed,oof,gender,F,4,0.4602,0.4829,0.1435,0.1644,13141,,
persuade,embed,oof,gender,M,4,0.3775,0.4105,0.1424,0.1395,12854,,
persuade,embed,oof,gender,F - M,4,,,0.0011,,13141,-0.013,0.0139
persuade,embed,oof,gender,F,5,0.1803,0.1218,0.5078,0.0403,13141,,
persuade,embed,oof,gender,M,5,0.1401,0.0949,0.538,0.0351,12854,,
persuade,embed,oof,gender,F - M,5,,,-0.0302,,13141,-0.0599,0.0021
persuade,embed,oof,race_ethnicity,Hispanic/Latino,3,0.6777,0.7396,0.078,0.3562,6560,,
persuade,embed,oof,race_ethnicity,White,3,0.7799,0.8192,0.0593,0.3887,11571,,
persuade,embed,oof,race_ethnicity,Hispanic/Latino - White,3,,,0.0188,,6560,0.0095,0.0286
persuade,embed,oof,race_ethnicity,Hispanic/Latino,4,0.3398,0.3665,0.1736,0.1298,6560,,
persuade,embed,oof,race_ethnicity,White,4,0.459,0.4757,0.1559,0.1631,11571,,
persuade,embed,oof,race_ethnicity,Hispanic/Latino - White,4,,,0.0177,,6560,0.0003,0.0385
persuade,embed,oof,race_ethnicity,Hispanic/Latino,5,0.1047,0.0675,0.5837,0.0267,6560,,
persuade,embed,oof,race_ethnicity,White,5,0.1801,0.1128,0.5422,0.037,11571,,
persuade,embed,oof,race_ethnicity,Hispanic/Latino - White,5,,,0.0415,,6560,-0.0008,0.085
persuade,embed,oof,race_ethnicity,Black/African American,3,0.6858,0.739,0.0738,0.3306,4958,,
persuade,embed,oof,race_ethnicity,White,3,0.7799,0.8192,0.0593,0.3887,11571,,
persuade,embed,oof,race_ethnicity,Black/African American - White,3,,,0.0145,,4958,0.0051,0.0248
persuade,embed,oof,race_ethnicity,Black/African American,4,0.3538,0.4004,0.1163,0.1358,4958,,
persuade,embed,oof,race_ethnicity,White,4,0.459,0.4757,0.1559,0.1631,11571,,
persuade,embed,oof,race_ethnicity,Black/African American - White,4,,,-0.0396,,4958,-0.0582,-0.0221
persuade,embed,oof,race_ethnicity,Black/African American,5,0.1174,0.0924,0.5292,0.042,4958,,
persuade,embed,oof,race_ethnicity,White,5,0.1801,0.1128,0.5422,0.037,11571,,
persuade,embed,oof,race_ethnicity,Black/African American - White,5,,,-0.013,,4958,-0.0577,0.0316
persuade,embed,oof,race_ethnicity,Asian/Pacific Islander,3,0.86,0.9013,0.028,0.4672,1743,,
persuade,embed,oof,race_ethnicity,White,3,0.7799,0.8192,0.0593,0.3887,11571,,
persuade,embed,oof,race_ethnicity,Asian/Pacific Islander - White,3,,,-0.0313,,1743,-0.0405,-0.0217
persuade,embed,oof,race_ethnicity,Asian/Pacific Islander,4,0.6242,0.6799,0.0625,0.2519,1743,,
persuade,embed,oof,race_ethnicity,White,4,0.459,0.4757,0.1559,0.1631,11571,,
persuade,embed,oof,race_ethnicity,Asian/Pacific Islander - White,4,,,-0.0934,,1743,-0.111,-0.0754
persuade,embed,oof,race_ethnicity,Asian/Pacific Islander,5,0.3551,0.2651,0.391,0.0756,1743,,
persuade,embed,oof,race_ethnicity,White,5,0.1801,0.1128,0.5422,0.037,11571,,
persuade,embed,oof,race_ethnicity,Asian/Pacific Islander - White,5,,,-0.1513,,1743,-0.1909,-0.1107
persuade,embed,lopo,ell_status,Yes,3,0.5579,0.8133,0.0623,0.6562,2244,,
persuade,embed,lopo,ell_status,No,3,0.7496,0.8546,0.0561,0.5873,22451,,
persuade,embed,lopo,ell_status,Yes - No,3,,,0.0062,,2244,-0.0067,0.0197
persuade,embed,lopo,ell_status,Yes,4,0.2041,0.4149,0.1594,0.3057,2244,,
persuade,embed,lopo,ell_status,No,4,0.4302,0.5181,0.1511,0.2683,22451,,
persuade,embed,lopo,ell_status,Yes - No,4,,,0.0083,,2244,-0.025,0.0423
persuade,embed,lopo,ell_status,Yes,5,0.033,0.0504,0.7568,0.0438,2244,,
persuade,embed,lopo,ell_status,No,5,0.1708,0.0978,0.6672,0.0494,22451,,
persuade,embed,lopo,ell_status,Yes - No,5,,,0.0896,,2244,-0.0175,0.1887
persuade,embed,lopo,economically_disadvantaged,Economically disadvantaged,3,0.6437,0.8031,0.082,0.5955,9643,,
persuade,embed,lopo,economically_disadvantaged,Not economically disadvantaged,3,0.8238,0.892,0.0468,0.6059,11116,,
persuade,embed,lopo,economically_disadvantaged,Economically disadvantaged - Not economically disadvantaged,3,,,0.0352,,9643,0.0266,0.0438
persuade,embed,lopo,economically_disadvantaged,Economically disadvantaged,4,0.289,0.4121,0.1912,0.2509,9643,,
persuade,embed,lopo,economically_disadvantaged,Not economically disadvantaged,4,0.5362,0.5999,0.1351,0.2934,11116,,
persuade,embed,lopo,economically_disadvantaged,Economically disadvantaged - Not economically disadvantaged,4,,,0.0562,,9643,0.0385,0.0735
persuade,embed,lopo,economically_disadvantaged,Economically disadvantaged,5,0.0846,0.0622,0.7022,0.0404,9643,,
persuade,embed,lopo,economically_disadvantaged,Not economically disadvantaged,5,0.245,0.1497,0.6214,0.0754,11116,,
persuade,embed,lopo,economically_disadvantaged,Economically disadvantaged - Not economically disadvantaged,5,,,0.0808,,9643,0.0447,0.1161
persuade,embed,lopo,student_disability_status,Identified as having disability,3,0.5495,0.8058,0.0562,0.6375,2688,,
persuade,embed,lopo,student_disability_status,Not identified as having disability,3,0.7681,0.8568,0.0618,0.5873,18135,,
persuade,embed,lopo,student_disability_status,Identified as having disability - Not identified as having disability,3,,,-0.0056,,2688,-0.0187,0.0064
persuade,embed,lopo,student_disability_status,Identified as having disability,4,0.2411,0.3981,0.1497,0.2544,2688,,
persuade,embed,lopo,student_disability_status,Not identified as having disability,4,0.4475,0.5289,0.1534,0.2717,18135,,
persuade,embed,lopo,student_disability_status,Identified as having disability - Not identified as having disability,4,,,-0.0037,,2688,-0.0314,0.0241
persuade,embed,lopo,student_disability_status,Identified as having disability,5,0.083,0.0685,0.6368,0.0418,2688,,
persuade,embed,lopo,student_disability_status,Not identified as having disability,5,0.1831,0.1149,0.6405,0.0601,18135,,
persuade,embed,lopo,student_disability_status,Identified as having disability - Not identified as having disability,5,,,-0.0037,,2688,-0.0679,0.0608
persuade,embed,lopo,gender,F,3,0.7785,0.8798,0.0506,0.6355,13141,,
persuade,embed,lopo,gender,M,3,0.7031,0.8212,0.0706,0.565,12854,,
persuade,embed,lopo,gender,F - M,3,,,-0.02,,13141,-0.0264,-0.0136
persuade,embed,lopo,gender,F,4,0.4602,0.5556,0.1559,0.3096,13141,,
persuade,embed,lopo,gender,M,4,0.3775,0.4554,0.1779,0.2331,12854,,
persuade,embed,lopo,gender,F - M,4,,,-0.0219,,13141,-0.0351,-0.0075
persuade,embed,lopo,gender,F,5,0.1803,0.1055,0.6745,0.0572,13141,,
persuade,embed,lopo,gender,M,5,0.1401,0.0724,0.7079,0.0366,12854,,
persuade,embed,lopo,gender,F - M,5,,,-0.0334,,13141,-0.0629,-0.0063
persuade,embed,lopo,race_ethnicity,Hispanic/Latino,3,0.6777,0.8215,0.0682,0.5894,6560,,
persuade,embed,lopo,race_ethnicity,White,3,0.7799,0.8729,0.0534,0.6117,11571,,
persuade,embed,lopo,race_ethnicity,Hispanic/Latino - White,3,,,0.0147,,6560,0.006,0.0236
persuade,embed,lopo,race_ethnicity,Hispanic/Latino,4,0.3398,0.4462,0.1871,0.2574,6560,,
persuade,embed,lopo,race_ethnicity,White,4,0.459,0.5403,0.1632,0.2888,11571,,
persuade,embed,lopo,race_ethnicity,Hispanic/Latino - White,4,,,0.0238,,6560,0.0057,0.0434
persuade,embed,lopo,race_ethnicity,Hispanic/Latino,5,0.1047,0.0569,0.7656,0.0361,6560,,
persuade,embed,lopo,race_ethnicity,White,5,0.1801,0.1061,0.667,0.0563,11571,,
persuade,embed,lopo,race_ethnicity,Hispanic/Latino - White,5,,,0.0987,,6560,0.0606,0.1348
persuade,embed,lopo,race_ethnicity,Black/African American,3,0.6858,0.8064,0.0841,0.5674,4958,,
persuade,embed,lopo,race_ethnicity,White,3,0.7799,0.8729,0.0534,0.6117,11571,,
persuade,embed,lopo,race_ethnicity,Black/African American - White,3,,,0.0307,,4958,0.0203,0.0419
persuade,embed,lopo,race_ethnicity,Black/African American,4,0.3538,0.4262,0.1944,0.2185,4958,,
persuade,embed,lopo,race_ethnicity,White,4,0.459,0.5403,0.1632,0.2888,11571,,
persuade,embed,lopo,race_ethnicity,Black/African American - White,4,,,0.0312,,4958,0.0102,0.0525
persuade,embed,lopo,race_ethnicity,Black/African American,5,0.1174,0.0512,0.7732,0.0279,4958,,
persuade,embed,lopo,race_ethnicity,White,5,0.1801,0.1061,0.667,0.0563,11571,,
persuade,embed,lopo,race_ethnicity,Black/African American - White,5,,,0.1062,,4958,0.0658,0.1446
persuade,embed,lopo,race_ethnicity,Asian/Pacific Islander,3,0.86,0.9323,0.028,0.6885,1743,,
persuade,embed,lopo,race_ethnicity,White,3,0.7799,0.8729,0.0534,0.6117,11571,,
persuade,embed,lopo,race_ethnicity,Asian/Pacific Islander - White,3,,,-0.0254,,1743,-0.0342,-0.0153
persuade,embed,lopo,race_ethnicity,Asian/Pacific Islander,4,0.6242,0.7172,0.0827,0.3847,1743,,
persuade,embed,lopo,race_ethnicity,White,4,0.459,0.5403,0.1632,0.2888,11571,,
persuade,embed,lopo,race_ethnicity,Asian/Pacific Islander - White,4,,,-0.0805,,1743,-0.0995,-0.0616
persuade,embed,lopo,race_ethnicity,Asian/Pacific Islander,5,0.3551,0.1933,0.6187,0.0899,1743,,
persuade,embed,lopo,race_ethnicity,White,5,0.1801,0.1061,0.667,0.0563,11571,,
persuade,embed,lopo,race_ethnicity,Asian/Pacific Islander - White,5,,,-0.0482,,1743,-0.0905,-0.0042
