kind,verifier,point,value,n,exposure,outcome,group,failures,rate,wilson_lo,wilson_hi,comparison_rate,risk_diff,ratio,p_fisher
contrast,facenet,fmr01pct,,2001,0.15,cannot_verify,T3_dark vs T1_light,,0.084,,,0.1069,-0.0229,0.79,0.09397678957887245
trend,facenet,fmr01pct,,3000,0.15,match,spearman_ita,,,,,,,0.0312,0.08709745067846264
rate,facenet,fmr01pct,,1001,0.25,fnmr,T1_light,97.0,0.0969,0.0801,0.1168,,,,
rate,facenet,fmr01pct,,999,0.25,fnmr,T2_mid,58.0,0.0581,0.0452,0.0743,,,,
rate,facenet,fmr01pct,,999,0.25,fnmr,T3_dark,78.0,0.0781,0.063,0.0964,,,,
contrast,facenet,fmr01pct,,2000,0.25,fnmr,T3_dark vs T1_light,,0.0781,,,0.0969,-0.0188,0.81,0.15419784662643626
rate,facenet,fmr01pct,,1001,0.25,cannot_verify,T1_light,97.0,0.0969,0.0801,0.1168,,,,
rate,facenet,fmr01pct,,999,0.25,cannot_verify,T2_mid,58.0,0.0581,0.0452,0.0743,,,,
rate,facenet,fmr01pct,,1000,0.25,cannot_verify,T3_dark,79.0,0.079,0.0638,0.0974,,,,
contrast,facenet,fmr01pct,,2001,0.25,cannot_verify,T3_dark vs T1_light,,0.079,,,0.0969,-0.0179,0.82,0.17953809804073717
trend,facenet,fmr01pct,,3000,0.25,match,spearman_ita,,,,,,,0.0227,0.21337946819714632
rate,facenet,fmr01pct,,1001,0.35,fnmr,T1_light,88.0,0.0879,0.0719,0.1071,,,,
rate,facenet,fmr01pct,,999,0.35,fnmr,T2_mid,56.0,0.0561,0.0434,0.0721,,,,
rate,facenet,fmr01pct,,1000,0.35,fnmr,T3_dark,72.0,0.072,0.0576,0.0897,,,,
contrast,facenet,fmr01pct,,2001,0.35,fnmr,T3_dark vs T1_light,,0.072,,,0.0879,-0.0159,0.82,0.21624717605664046
rate,facenet,fmr01pct,,1001,0.35,cannot_verify,T1_light,88.0,0.0879,0.0719,0.1071,,,,
rate,facenet,fmr01pct,,999,0.35,cannot_verify,T2_mid,56.0,0.0561,0.0434,0.0721,,,,
rate,facenet,fmr01pct,,1000,0.35,cannot_verify,T3_dark,72.0,0.072,0.0576,0.0897,,,,
contrast,facenet,fmr01pct,,2001,0.35,cannot_verify,T3_dark vs T1_light,,0.072,,,0.0879,-0.0159,0.82,0.21624717605664046
trend,facenet,fmr01pct,,3000,0.35,match,spearman_ita,,,,,,,0.022,0.2284257629323704
rate,facenet,fmr01pct,,1001,0.5,fnmr,T1_light,93.0,0.0929,0.0764,0.1125,,,,
rate,facenet,fmr01pct,,999,0.5,fnmr,T2_mid,54.0,0.0541,0.0417,0.0699,,,,
rate,facenet,fmr01pct,,1000,0.5,fnmr,T3_dark,79.0,0.079,0.0638,0.0974,,,,
contrast,facenet,fmr01pct,,2001,0.5,fnmr,T3_dark vs T1_light,,0.079,,,0.0929,-0.0139,0.85,0.29982651890578715
rate,facenet,fmr01pct,,1001,0.5,cannot_verify,T1_light,93.0,0.0929,0.0764,0.1125,,,,
rate,facenet,fmr01pct,,999,0.5,cannot_verify,T2_mid,54.0,0.0541,0.0417,0.0699,,,,
rate,facenet,fmr01pct,,1000,0.5,cannot_verify,T3_dark,79.0,0.079,0.0638,0.0974,,,,
contrast,facenet,fmr01pct,,2001,0.5,cannot_verify,T3_dark vs T1_light,,0.079,,,0.0929,-0.0139,0.85,0.29982651890578715
trend,facenet,fmr01pct,,3000,0.5,match,spearman_ita,,,,,,,0.0204,0.2636818849240227
rate,facenet,fmr01pct,,1001,1.0,fnmr,T1_light,88.0,0.0879,0.0719,0.1071,,,,
rate,facenet,fmr01pct,,999,1.0,fnmr,T2_mid,57.0,0.0571,0.0443,0.0732,,,,
rate,facenet,fmr01pct,,1000,1.0,fnmr,T3_dark,79.0,0.079,0.0638,0.0974,,,,
contrast,facenet,fmr01pct,,2001,1.0,fnmr,T3_dark vs T1_light,,0.079,,,0.0879,-0.0089,0.9,0.5179850928306207
rate,facenet,fmr01pct,,1001,1.0,cannot_verify,T1_light,88.0,0.0879,0.0719,0.1071,,,,
