kind,sample,detector,exposure,race,gender,n,misses,miss_rate,wilson_lo,wilson_hi,a,b,rate_a,rate_b,risk_diff,ratio,p_fisher
cell,all,yunet,0.15,White,Male,1122,202.0,0.18,0.1587,0.2036,,,,,,,
cell,all,yunet,0.15,East Asian,Female,773,110.0,0.1423,0.1194,0.1687,,,,,,,
cell,all,yunet,0.15,East Asian,Male,777,120.0,0.1544,0.1307,0.1815,,,,,,,
cell,all,yunet,0.15,Latino_Hispanic,Female,830,98.0,0.1181,0.0979,0.1418,,,,,,,
cell,all,yunet,0.15,Latino_Hispanic,Male,793,115.0,0.145,0.1222,0.1712,,,,,,,
cell,all,yunet,0.15,Middle Eastern,Female,396,63.0,0.1591,0.1264,0.1984,,,,,,,
cell,all,yunet,0.15,Middle Eastern,Male,813,136.0,0.1673,0.1432,0.1945,,,,,,,
cell,all,yunet,0.15,Southeast Asian,Female,680,55.0,0.0809,0.0627,0.1038,,,,,,,
cell,all,yunet,0.15,Southeast Asian,Male,735,88.0,0.1197,0.0982,0.1452,,,,,,,
cell,all,yunet,0.15,Indian,Female,763,82.0,0.1075,0.0874,0.1314,,,,,,,
cell,all,yunet,0.15,Indian,Male,753,117.0,0.1554,0.1313,0.183,,,,,,,
cell,all,yunet,0.15,Black,Female,757,130.0,0.1717,0.1465,0.2002,,,,,,,
cell,all,yunet,0.15,Black,Male,799,187.0,0.234,0.206,0.2646,,,,,,,
contrast,all,yunet,0.15,,,1879,,,,,Black Female,White Male,0.1717,0.18,-0.0083,0.95,0.6662798818512756
contrast,all,yunet,0.15,,,1556,,,,,Black Female,Black Male,0.1717,0.234,-0.0623,0.73,0.00248747532204369
contrast,all,yunet,0.15,,,2085,,,,,White Female,White Male,0.1433,0.18,-0.0367,0.8,0.023963892633777295
contrast,all,yunet,0.15,,,1720,,,,,Black Female,White Female,0.1717,0.1433,0.0284,1.2,0.10851340800630085
cell,all,mtcnn,1.0,White,Female,963,5.0,0.0052,0.0022,0.0121,,,,,,,
cell,all,mtcnn,1.0,White,Male,1122,2.0,0.0018,0.0005,0.0065,,,,,,,
cell,all,mtcnn,1.0,East Asian,Female,773,7.0,0.0091,0.0044,0.0186,,,,,,,
cell,all,mtcnn,1.0,East Asian,Male,777,8.0,0.0103,0.0052,0.0202,,,,,,,
cell,all,mtcnn,1.0,Latino_Hispanic,Female,830,1.0,0.0012,0.0002,0.0068,,,,,,,
cell,all,mtcnn,1.0,Latino_Hispanic,Male,793,0.0,0.0,0.0,0.0048,,,,,,,
cell,all,mtcnn,1.0,Middle Eastern,Female,396,2.0,0.0051,0.0014,0.0182,,,,,,,
cell,all,mtcnn,1.0,Middle Eastern,Male,813,5.0,0.0062,0.0026,0.0143,,,,,,,
cell,all,mtcnn,1.0,Southeast Asian,Female,680,3.0,0.0044,0.0015,0.0129,,,,,,,
cell,all,mtcnn,1.0,Southeast Asian,Male,735,0.0,0.0,0.0,0.0052,,,,,,,
cell,all,mtcnn,1.0,Indian,Female,763,1.0,0.0013,0.0002,0.0074,,,,,,,
cell,all,mtcnn,1.0,Indian,Male,753,3.0,0.004,0.0014,0.0116,,,,,,,
cell,all,mtcnn,1.0,Black,Female,757,3.0,0.004,0.0013,0.0116,,,,,,,
cell,all,mtcnn,1.0,Black,Male,799,8.0,0.01,0.0051,0.0196,,,,,,,
contrast,all,mtcnn,1.0,,,1879,,,,,Black Female,White Male,0.004,0.0018,0.0022,2.22,0.39788079804525234
contrast,all,mtcnn,1.0,,,1556,,,,,Black Female,Black Male,0.004,0.01,-0.006,0.4,0.22678681762511607
contrast,all,mtcnn,1.0,,,2085,,,,,White Female,White Male,0.0052,0.0018,0.0034,2.91,0.2596706834701239
contrast,all,mtcnn,1.0,,,1720,,,,,Black Female,White Female,0.004,0.0052,-0.0012,0.76,1.0
cell,all,mtcnn,0.15,White,Female,963,24.0,0.0249,0.0168,0.0368,,,,,,,
cell,all,mtcnn,0.15,White,Male,1122,26.0,0.0232,0.0159,0.0337,,,,,,,
cell,all,mtcnn,0.15,East Asian,Female,773,20.0,0.0259,0.0168,0.0396,,,,,,,
cell,all,mtcnn,0.15,East Asian,Male,777,21.0,0.027,0.0177,0.041,,,,,,,
cell,all,mtcnn,0.15,Latino_Hispanic,Female,830,14.0,0.0169,0.0101,0.0281,,,,,,,
cell,all,mtcnn,0.15,Latino_Hispanic,Male,793,9.0,0.0113,0.006,0.0214,,,,,,,
cell,all,mtcnn,0.15,Middle Eastern,Female,396,11.0,0.0278,0.0156,0.049,,,,,,,
cell,all,mtcnn,0.15,Middle Eastern,Male,813,18.0,0.0221,0.014,0.0347,,,,,,,
cell,all,mtcnn,0.15,Southeast Asian,Female,680,9.0,0.0132,0.007,0.025,,,,,,,
cell,all,mtcnn,0.15,Southeast Asian,Male,735,11.0,0.015,0.0084,0.0266,,,,,,,
cell,all,mtcnn,0.15,Indian,Female,763,6.0,0.0079,0.0036,0.017,,,,,,,
cell,all,mtcnn,0.15,Indian,Male,753,16.0,0.0212,0.0131,0.0342,,,,,,,
cell,all,mtcnn,0.15,Black,Female,757,23.0,0.0304,0.0203,0.0452,,,,,,,
cell,all,mtcnn,0.15,Black,Male,799,48.0,0.0601,0.0456,0.0788,,,,,,,
contrast,all,mtcnn,0.15,,,1879,,,,,Black Female,White Male,0.0304,0.0232,0.0072,1.31,0.37660250821026353
contrast,all,mtcnn,0.15,,,1556,,,,,Black Female,Black Male,0.0304,0.0601,-0.0297,0.51,0.005111835662485282
contrast,all,mtcnn,0.15,,,2085,,,,,White Female,White Male,0.0249,0.0232,0.0017,1.08,0.8860356160069628
contrast,all,mtcnn,0.15,,,1720,,,,,Black Female,White Female,0.0304,0.0249,0.0055,1.22,0.551981022368315
cell,all,mediapipe,1.0,White,Female,963,0.0,0.0,-0.0,0.004,,,,,,,
cell,all,mediapipe,1.0,White,Male,1122,1.0,0.0009,0.0002,0.005,,,,,,,
cell,all,mediapipe,1.0,East Asian,Female,773,0.0,0.0,0.0,0.0049,,,,,,,
cell,all,mediapipe,1.0,East Asian,Male,777,2.0,0.0026,0.0007,0.0093,,,,,,,
cell,all,mediapipe,1.0,Latino_Hispanic,Female,830,1.0,0.0012,0.0002,0.0068,,,,,,,
cell,all,mediapipe,1.0,Latino_Hispanic,Male,793,1.0,0.0013,0.0002,0.0071,,,,,,,
cell,all,mediapipe,1.0,Middle Eastern,Female,396,0.0,0.0,0.0,0.0096,,,,,,,
cell,all,mediapipe,1.0,Middle Eastern,Male,813,0.0,0.0,0.0,0.0047,,,,,,,
cell,all,mediapipe,1.0,Southeast Asian,Female,680,0.0,0.0,0.0,0.0056,,,,,,,
cell,all,mediapipe,1.0,Southeast Asian,Male,735,0.0,0.0,0.0,0.0052,,,,,,,
cell,all,mediapipe,1.0,Indian,Female,763,0.0,0.0,0.0,0.005,,,,,,,
cell,all,mediapipe,1.0,Indian,Male,753,0.0,0.0,0.0,0.0051,,,,,,,
cell,all,mediapipe,1.0,Black,Female,757,1.0,0.0013,0.0002,0.0074,,,,,,,
cell,all,mediapipe,1.0,Black,Male,799,0.0,0.0,0.0,0.0048,,,,,,,
contrast,all,mediapipe,1.0,,,1879,,,,,Black Female,White Male,0.0013,0.0009,0.0004,1.48,1.0
contrast,all,mediapipe,1.0,,,1556,,,,,Black Female,Black Male,0.0013,0.0,0.0013,inf,0.48650385604113106
contrast,all,mediapipe,1.0,,,2085,,,,,White Female,White Male,0.0,0.0009,-0.0009,0.0,1.0
contrast,all,mediapipe,1.0,,,1720,,,,,Black Female,White Female,0.0013,0.0,0.0013,inf,0.4401162790697674
cell,all,mediapipe,0.15,White,Female,963,1.0,0.001,0.0002,0.0059,,,,,,,
cell,all,mediapipe,0.15,White,Male,1122,1.0,0.0009,0.0002,0.005,,,,,,,
cell,all,mediapipe,0.15,East Asian,Female,773,0.0,0.0,0.0,0.0049,,,,,,,
cell,all,mediapipe,0.15,East Asian,Male,777,0.0,0.0,0.0,0.0049,,,,,,,
cell,all,mediapipe,0.15,Latino_Hispanic,Female,830,1.0,0.0012,0.0002,0.0068,,,,,,,
cell,all,mediapipe,0.15,Latino_Hispanic,Male,793,1.0,0.0013,0.0002,0.0071,,,,,,,
cell,all,mediapipe,0.15,Middle Eastern,Female,396,1.0,0.0025,0.0004,0.0142,,,,,,,
cell,all,mediapipe,0.15,Middle Eastern,Male,813,1.0,0.0012,0.0002,0.0069,,,,,,,
cell,all,mediapipe,0.15,Southeast Asian,Female,680,0.0,0.0,0.0,0.0056,,,,,,,
cell,all,mediapipe,0.15,Southeast Asian,Male,735,0.0,0.0,0.0,0.0052,,,,,,,
cell,all,mediapipe,0.15,Indian,Female,763,0.0,0.0,0.0,0.005,,,,,,,
cell,all,mediapipe,0.15,Indian,Male,753,0.0,0.0,0.0,0.0051,,,,,,,
cell,all,mediapipe,0.15,Black,Female,757,2.0,0.0026,0.0007,0.0096,,,,,,,
cell,all,mediapipe,0.15,Black,Male,799,0.0,0.0,0.0,0.0048,,,,,,,
contrast,all,mediapipe,0.15,,,1879,,,,,Black Female,White Male,0.0026,0.0009,0.0018,2.96,0.5687501439819544
contrast,all,mediapipe,0.15,,,1556,,,,,Black Female,Black Male,0.0026,0.0,0.0026,inf,0.23652534737433772
contrast,all,mediapipe,0.15,,,2085,,,,,White Female,White Male,0.001,0.0009,0.0001,1.17,1.0
contrast,all,mediapipe,0.15,,,1720,,,,,Black Female,White Female,0.0026,0.001,0.0016,2.54,0.5858182008505498
