institution,year,observed_mean,n_reports,extrapolated,H_s
University of Texas at Austin,2025,36885.3,10,False,36885.3
University of Washington,2019,30549.14285714286,21,False,30549.14
University of Washington,2020,30595.375,24,False,30595.38
University of Washington,2021,30243.235294117647,17,False,30243.24
University of Washington,2022,30368.1,30,False,30368.1
University of Washington,2023,31337.0,11,False,31337.0
University of Washington,2024,32131.75,4,False,32131.75
University of Washington,2025,39009.6,5,False,39009.6
University of Illinois Urbana-Champaign,2019,20486.916666666668,24,False,20486.92
University of Illinois Urbana-Champaign,2020,24224.0,48,False,24224.0
University of Illinois Urbana-Champaign,2021,21286.130434782608,23,False,21286.13
University of Illinois Urbana-Champaign,2022,24165.88888888889,36,False,24165.89
University of Illinois Urbana-Champaign,2023,28869.916666666668,12,False,28869.92
University of Illinois Urbana-Champaign,2024,26548.133333333335,15,False,26548.13
University of Illinois Urbana-Champaign,2025,30433.416666666668,12,False,30433.42
Ohio State University,2019,22078.695652173912,23,False,22078.7
Ohio State University,2020,22498.32,25,False,22498.32
Ohio State University,2021,26174.428571428572,14,False,26174.43
Ohio State University,2022,26477.916666666668,36,False,26477.92
Ohio State University,2023,24702.071428571428,14,False,24702.07
Ohio State University,2024,31419.875,8,False,31419.88
Ohio State University,2025,30476.0,11,False,30476.0
Penn State University,2019,27530.04,25,False,27530.04
Penn State University,2020,28175.208333333332,48,False,28175.21
Penn State University,2021,27586.714285714286,21,False,27586.71
Penn State University,2022,28094.79591836735,49,False,28094.8
Penn State University,2023,32453.733333333334,15,False,32453.73
Penn State University,2024,28891.153846153848,13,False,28891.15
Penn State University,2025,26756.5,8,False,26756.5
"University of California, Berkeley",2019,34051.93548387097,31,False,34051.94
"University of California, Berkeley",2020,34232.95,40,False,34232.95
"University of California, Berkeley",2021,35319.90909090909,22,False,35319.91
"University of California, Berkeley",2022,38079.3,30,False,38079.3
"University of California, Berkeley",2023,42216.92307692308,13,False,42216.92
"University of California, Berkeley",2024,36114.0,9,False,36114.0
"University of California, Berkeley",2025,39451.692307692305,13,False,39451.69
"University of California, Los Angeles",2019,28290.227272727272,22,False,28290.23
"University of California, Los Angeles",2020,29981.5625,32,False,29981.56
"University of California, Los Angeles",2021,31527.21052631579,19,False,31527.21
"University of California, Los Angeles",2022,29643.05,20,False,29643.05
"University of California, Los Angeles",2023,30110.625,8,False,30110.62
"University of California, Los Angeles",2024,31277.777777777777,9,False,31277.78
"University of California, Los Angeles",2025,20357.14285714286,7,False,20357.14
"University of California, San Diego",2019,28366.0625,16,False,28366.06
"University of California, San Diego",2020,31236.5,64,False,31236.5
"University of California, San Diego",2021,29692.19230769231,26,False,29692.19
"University of California, San Diego",2022,32925.32142857143,28,False,32925.32
"University of California, San Diego",2023,33775.625,8,False,33775.62
"University of California, San Diego",2024,38261.75,4,False,38261.75
"University of California, San Diego",2025,39310.0,4,False,39310.0
