year,real,synth
2004,0.7952173913043478,0.7912260027699981
2005,0.8039130434782608,0.8005306017384746
2006,0.7865217391304349,0.7841391719724744
2007,0.7708695652173915,0.7745674131371003
2008,0.7682608695652173,0.7727604827069927
2009,0.7804347826086958,0.7877793287365027
2010,0.8078260869565217,0.8098638650734593
2011,0.83,0.8240536080806053
2012,0.822608695652174,0.823464947967175
2013,0.8360869565217393,0.8305906141546802
2014,0.8352173913043477,0.8288170225332001
2015,0.831304347826087,0.8344222849354377
2016,0.8278260869565217,0.8265184399224594
2017,0.8139130434782608,0.8183320027324761
2018,0.8217391304347827,0.8258412171805324
2019,0.8226086956521741,0.8284985301664545
2020,0.8365217391304348,0.8309287868267221
