year,treated,p104151,p106397,p126614,p126818,p133951,p145813,p153658,p159391,p164076,p170082,p176017,p176080,p185590,p190594,p201885,p204857,p207500,p209542,p209551,p221759,p228787,p229115,p230764,p234030,p236939
2004,-0.00021422379883551113,-0.02205129054191146,0.005931661672271105,0.004499297944170033,0.0018899324659956696,0.017423484562525293,0.003894898468209562,-0.004781210370542133,0.015606917976230372,0.0076336328294003275,-0.008551394289669001,0.002034888420420433,-0.004857733107252571,0.009026170005804746,-0.0024279565451172935,-0.011308636274199202,-0.003563783940123577,0.00409496509009466,-0.0015995014985551448,0.011645745854150347,-0.006566004960366523,-0.004746253509327558,-0.009338062397778124,0.0054545383447249796,-0.0025853423932070685,0.0037562480903341466
2005,0.0002842045522384318,-1.1102230246251565e-16,-0.0038326552936985836,-0.0023361844686734523,0.0056951604029916725,-0.04619132730985054,0.008844584330206295,0.006414779126234671,-0.0009790652658232535,0.002917864159587169,0.010061477590756263,-0.004110809548350747,-0.0037394052888066742,-0.0025713500619183316,0.003681664128758033,-0.0028323510264532947,0.00033746836417469783,-0.0031574376136710436,-0.0008143446695191292,-0.00510896171633457,-0.010102286870304789,0.009686690776256057,0.0161914710759693,0.009999999999999787,-0.004082199253848784,0.012044283719548465
2006,-0.0009300511089586072,-0.01000000000000012,0.006646086730388023,0.00556336089056797,0.008417489630996533,-0.025983324307510713,0.007289985148698275,0.0061655039929049416,-0.0004267239669293321,-0.00409939144594107,0.005241548536546903,0.0031986341965439813,0.003481357969362997,0.00028068625366839406,-0.0020953944533737,-0.008434690867283101,-0.008172037982453029,0.016039975439123055,0.0005694329111558538,0.00290200727358636,0.009592501749804416,-0.004213550656167464,0.009806564594192824,-0.021363634586181512,0.0023544032127784664,-0.0059001582832989286
2007,0.0003489390466840936,-0.028974354729044416,0.0025439761173070563,-0.0026149929335916866,-0.01911858206402972,0.026662007892417572,-0.005250211768640156,-0.002343692416546417,0.012082630366592628,0.0020992825429893003,0.0005704127555838934,-0.00234912633317097,0.0008379937357406719,-0.001300272693554816,0.002067156792249669,0.0006335299557329588,-0.017219707975217435,0.004033545657417648,0.004306794604835962,0.009874232804969574,0.0134730211612899,-0.0005208466740131978,0.004215916802962516,-0.02000000000000013,-0.005098361628168124,0.009062750257192054
2008,0.00027667889442184457,-0.0024358868226107555,-0.006393695363232532,0.001660491454293922,0.0013841266659827545,0.0044873562750566975,0.0019457694507657441,-0.0004917663227420599,0.014233451854309576,-0.0034897928183182936,0.016505590726148323,-0.02557166813762024,0.004655105501352619,0.0011764107066447593,0.0014042972684835675,0.00033759152671530845,0.007019012693255444,0.0010724680056414249,-0.0027755734360247475,-0.009980755221098203,-0.0017205488391517365,-0.0020621539180397663,-0.008217881132800198,0.0072727308276372415,0.013782771641614122,-0.0036191294528188367
2009,0.00045607151211435326,-0.017948709458088574,0.0056472485673380035,-0.0021122336977849043,-0.00029813088699115475,-0.007936338045182456,0.015541519539195803,-0.009656294380388841,0.0052166592925045885,0.0025515596591014766,-0.0025023770359298148,-0.0031231970492817673,-0.005658507587715356,0.00137024748742276,0.0007056441261885649,0.019068220823015958,-0.0013126128842055884,-0.008597743395392876,0.007882617319170726,0.004070568947682651,-0.00018433338801415733,0.0004917105969320934,-0.014470466526252501,0.009999999999999898,-0.009325646285175071,0.007829318356034065
2010,-6.250713152455845e-05,0.00551282263547781,-0.0018344121389017864,0.005510704336843419,0.0014554137749482887,-0.0009555911414900198,0.002958594612437193,0.009980710362664458,-0.00409085789178687,0.005537904510081515,0.0013520433810427779,0.004881382157439829,-0.012903477501942096,-0.00833385316683588,0.0012262309646267067,-0.012871675314188202,-0.01425249250399574,-0.011403242890583476,-0.0022329839818525654,0.006178062903580694,0.01859385964035154,0.013642971516094393,-0.005987777136503558,-1.1102230246251565e-16,-0.0005206916357083369,-0.014480748777013885
2011,-0.0007262768334768133,0.012051290541911341,-0.004878893452291533,-0.004636270580108515,0.005533409593930894,-0.0008865207254279417,-0.0026651241671988846,0.005991148621353415,-0.0003874514600440415,-0.009722781958068194,-0.016567199065365412,-0.009546949704939967,0.002251178826200406,0.0009699934772608998,0.0006610061059927341,0.006416204871844133,-0.01888356105912048,0.009864073184805755,-0.007819900135578095,0.00849926611978169,-0.0018799575463639417,-0.010647164076833526,-0.01177186033354094,0.028636365413818643,0.013993869520715796,0.0031090490718904684
2012,-0.009958650517533862,-0.03243588682261078,-0.020036774336706697,-0.011463194849682612,0.026982629228878507,0.00227141130354902,-0.02540460696561453,0.024423232312872134,-0.0013313863913538837,0.008931956204729197,-0.008015935524156692,0.006694594911976881,-0.015454417388764408,0.0036518902333774195,0.007703269339850327,0.02261275038067212,-0.027902956159384762,0.008035371079201048,0.01442937376294473,-0.0011975291873213,0.0044116801683101725,0.021588771715027155,-0.011313616670784898,0.019999999999999907,-0.002479408104352876,-0.0036555039318014737
2013,-0.02794598244088864,-0.01551282263547793,-0.0315159570482777,0.009350624330030866,0.046982629228878525,0.0006512787617179994,-0.02057124196695037,0.015359588593741424,-0.017638421548468064,-0.0008501431138029369,-0.0013607352673499218,0.038679305167664935,-0.038612687553220115,0.06032779072778627,0.010367724164346726,-0.006455470442343958,-0.06964423846166634,0.005427217831881603,0.004643407323451254,0.019953450031328313,0.016233749073184645,0.0349817209874318,-0.011059066947495255,0.018636365413818634,0.010483378831014911,-0.027846486779054214
2014,-0.038937257399880965,0.00551282263547781,-0.014679311681087714,-0.011296571860555549,0.0326715954918696,0.0025071913678040847,-0.03027209358717098,0.019891078175058086,0.013366726988080169,-0.009377627282767809,-0.007085511625451457,0.01823110435425146,-0.036082100733310085,0.004028447022231374,-0.0003737051825675186,-0.006892478376143041,-0.038327104238824794,0.004688104125565418,0.003804749848535516,0.017402859742765564,0.019436839009416174,0.008412330114102362,0.004073337180979242,0.029999999999999916,-0.0014458235058183444,-0.04398192913514842
