year,real,synth
2004,0.7952,0.7912
2005,0.8039,0.8005
2006,0.7865,0.7841
2007,0.7709,0.7746
2008,0.7683,0.7728
2009,0.7804,0.7878
2010,0.8078,0.8099
2011,0.83,0.8241
2012,0.8226,0.8235
2013,0.8361,0.8306
2014,0.8352,0.8288
2015,0.8313,0.8344
2016,0.8278,0.8265
2017,0.8139,0.8183
2018,0.8217,0.8258
2019,0.8226,0.8285
2020,0.8365,0.8309
