unitid,urm_share
100654,0.9655741084312512
100663,0.3313121513461072
100690,0.24489795918367346
100706,0.18410942062394345
100724,0.9576898667230802
100751,0.1814329146577404
100760,0.27416619559072924
100812,0.1887603305785124
100830,0.4207816522349637
100858,0.11616206196486892
100937,0.15622583139984533
101028,0.4836387434554974
101073,0.9294117647058824
101116,0.6776649746192893
101143,0.3247863247863248
101161,0.267098933277557
101189,0.502903600464576
101240,0.26130358191426895
101277,0.12195121951219512
101286,0.3262161567246313
101295,0.10945821854912764
101301,0.7552533992583437
101365,0.5892116182572614
101435,0.30313588850174217
101453,0.22
101462,0.6115802171290712
101471,0.4910313901345291
101480,0.1986509720936384
101499,0.35
101505,0.28597001566345936
101514,0.2770707070707071
101541,0.21100917431192662
101569,0.8328005115089514
101587,0.4539939332659252
101602,0.25487944890929964
101648,0.35764705882352943
101675,0.9769230769230769
101693,0.2492732558139535
101709,0.23204649232046493
101736,0.16257995735607675
101879,0.20370962583946275
101897,0.14963643321852277
101912,0.896551724137931
101949,0.45301027900146845
101958,0.1
101994,0.5950920245398773
102030,0.6743725231175693
102049,0.12750673451062555
102058,0.8363636363636363
102067,0.3866943866943867
102076,0.2016372253339078
102094,0.28322421562792277
102234,0.2338884866039102
102261,0.35664335664335667
102270,0.9585987261146497
102298,0.9348148148148148
102313,0.6815171583383504
102368,0.3795955882352941
102377,0.7321353949017969
102395,0.32
102429,0.17367314766158698
102553,0.2823877524765213
102580,0.2
102614,0.2770175928511589
102632,0.25733333333333336
102669,0.34563758389261745
102711,0.3002481389578164
102845,0.5384326959130109
103501,0.4009433962264151
103741,0.7307692307692307
103811,0.5328467153284672
103893,0.7335375191424196
103909,0.5909849749582637
103927,0.7532467532467533
103945,0.7722772277227723
103954,0.7111111111111111
103963,0.5926928281461434
104090,0.5649409627611263
104151,0.286555076865127
104160,0.7691901175848858
104179,0.35487030331809816
104188,0.5378787878787878
104346,0.4694717994628469
104364,0.6549707602339181
104391,0.16666666666666666
104425,0.5490149537146927
104434,0.4857142857142857
104443,0.5645161290322581
104504,0.449438202247191
104568,0.534965034965035
104577,0.3152732368052312
104586,0.1783761043331931
104708,0.4622631578947368
104717,0.4130721213037562
104911,0.6
105145,0.5877817319098458
105154,0.37107470255510044
105206,0.2978723404255319
105215,0.2673434856175973
105297,0.9914040114613181
105330,0.34630188679245283
105349,0.4835742444152431
105367,0.18333333333333332
105428,0.6364268335071255
105482,0.3707865168539326
105525,0.5334188171181279
105534,0.5092460881934566
105543,0.7362385321100917
105589,0.19047619047619047
105659,0.4824961948249619
105668,0.30296200901481
105677,0.075
105701,0.5087719298245614
105747,0.2990262799706837
105792,0.7604731394775751
105899,0.3780487804878049
105987,0.7254901960784313
106041,0.5126582278481012
106102,0.42567567567567566
106111,0.7052631578947368
106148,0.18744850315847295
106245,0.4091218515997277
106263,0.20771513353115728
106306,0.9521640091116174
106315,0.9213483146067416
106324,0.17647058823529413
106342,0.1485148514851485
106351,0.9465648854961832
106360,0.1794871794871795
106397,0.17376263970196915
106412,0.9397280411613378
106449,0.1642015542742542
106458,0.17796524036995628
106467,0.18411291052203022
106485,0.32079585718179343
106494,0.2876712328767123
106546,0.24962178517397882
106625,0.04525175270873168
106704,0.2588394342762063
106713,0.2370012091898428
106795,0.40377113133940185
106810,0.05128205128205128
106829,0.6190476190476191
106883,0.34995625546806647
106892,0.6119402985074627
106908,0.29508196721311475
106980,0.1934011934011934
106999,0.13234200743494423
107044,0.10681149581353247
107071,0.31520314547837486
107080,0.14231642694928084
107099,0.0
107123,0.16393442622950818
107141,0.1457610312345067
107211,0.5
107220,0.21171171171171171
107293,0.1917808219178082
107318,0.6437908496732027
107327,0.3100282485875706
107442,1.0
107460,0.11134676564156946
107488,0.24
107512,0.12993971868720697
107521,0.2289156626506024
107549,0.04013961605584642
107558,0.22886297376093295
107585,0.21882700837851157
107600,0.9594771241830066
107619,0.48025186033199774
107637,0.6355140186915887
107655,0.32
107664,0.5273722627737226
107725,0.43043762246897455
107743,0.09725400457665904
107789,0.17699115044247787
107831,0.1527777777777778
107840,0.6076233183856502
107877,0.1300639658848614
107974,0.3919270833333333
107983,0.3084879829631883
107992,0.38846153846153847
108065,1.0
108092,0.2504186329730553
108232,0.22521980007226303
108348,0.6363636363636364
108649,0.75
108667,0.48069407534781927
108807,0.6375291375291375
108852,0.24092409240924093
108977,0.8492063492063492
109040,0.8114068441064639
109086,0.05555555555555555
109208,0.3842196664373014
109350,0.7421481744062389
109651,0.18658280922431866
109721,0.865909090909091
109730,0.6129032258064516
109785,0.4518197573656846
109819,0.7500660501981506
109907,0.6502283105022831
109934,0.8040201005025126
110060,0.3443708609271523
110097,0.292349058909802
110194,0.6486486486486487
110219,0.32236400268636667
110246,0.33707964601769913
110316,0.42857142857142855
110334,0.4943229253631658
110361,0.5078564220844746
110370,0.18782722513089006
110404,0.1961184882533197
110413,0.4042185338865837
110422,0.2419465387251542
110468,0.44255608429639703
110486,0.649834943147084
110495,0.5762180974477958
110510,0.7126542541675688
110529,0.49235242068006574
110538,0.39621152328334647
110547,0.7627118644067796
110556,0.5557361820715281
110565,0.48455576122165667
110574,0.49765048109196686
110583,0.4950687896119957
110592,0.6998836919498214
110608,0.5397975165007272
110617,0.43365174770133447
110635,0.21252132378027977
110644,0.28353585894686684
110653,0.32333247960191724
110662,0.3041168658698539
110671,0.4838628213546139
110680,0.23137910193052938
110705,0.370167794567535
110714,0.3999528357505011
110778,0.3
110875,0.5405405405405406
110918,0.8333333333333334
111009,0.05521472392638037
111054,0.7009345794392523
111081,0.2940563086548488
111188,0.33965672990063234
111434,0.57009058805466
111461,0.5399178603626165
111513,0.44966442953020136
111638,0.4247787610619469
111708,0.8358974358974359
111717,0.9
111726,0.9922480620155039
111744,0.8203592814371258
111762,0.9782608695652174
111799,1.0
111887,0.8124314790981457
111896,0.49707943925233644
111920,0.5856498326298938
111939,0.7548859194618671
111948,0.23541341653666148
111966,0.7282608695652174
112075,0.3303896103896104
112084,0.4446043165467626
112172,0.6956010350505764
112181,0.12359550561797752
112190,0.38916418896597293
112260,0.24647364513734224
112288,0.7862595419847328
112367,0.5870503597122302
112385,0.4625443676443116
112394,0.3569230769230769
112446,0.3492537313432836
112455,0.559322033898305
112561,0.21983471074380165
112570,0.40054495912806537
112686,0.9179124399359316
112826,0.6917981072555205
113096,0.4663811563169165
113111,0.5709954522486104
113193,0.3910281469898358
113218,0.46909016225097555
113236,0.5556113167304435
113333,0.3580189339178287
113449,0.6744186046511628
113537,0.05263157894736842
113573,0.7605633802816901
113582,0.24475524475524477
113634,0.38951542303929143
113698,0.33861671469740634
113856,0.7546659453611037
113980,0.7146839761993925
114044,0.6445916114790287
114123,0.4986149584487535
114266,0.4848218213814342
114354,0.31402439024390244
114390,0.35240963855421686
114415,0.39805825242718446
114433,0.3831728332488596
114460,0.5185185185185185
114628,0.21428571428571427
114637,0.0625
114716,0.35246274969093633
114761,0.3442622950819672
114789,0.6452344601962923
114813,0.5647881530234471
114859,0.6151705229925643
114938,0.6297246451171541
114947,0.09271523178807947
115001,0.38265911187244694
115010,0.5735849056603773
115083,0.35730337078651686
115126,0.4030530488319136
115296,0.4775651421775327
115357,0.8412698412698413
115393,0.6853504218040234
115409,0.28978622327790976
115658,0.7661290322580645
115728,0.6692015209125475
