institution,domain,integ_url,ai_url
University of Melbourne,unimelb.edu.au,https://academicintegrity.unimelb.edu.au/,
University of Queensland,uq.edu.au,https://my.uq.edu.au/information-and-services/manage-my-program/student-integrity-and-conduct/academic-integrity-and-student-conduct,
University of New South Wales,unsw.edu.au,https://www.unsw.edu.au/student/managing-your-studies/academic-skills-support/toolkit/plagiarism,
Monash University,monash.edu,https://www.monash.edu/students/admin/policies/academic-integrity,
