institution,domain,integ_url,ai_url
Monash University,monash.edu,https://publicpolicydms.monash.edu/Monash/documents/1935748,
La Trobe University,latrobe.edu.au,https://latrobe.libguides.com/academic-integrity,
Swinburne University of Technology,swinburne.edu.au,https://www.swinburne.edu.au/student-login/academic-integrity/,
University of Newcastle,newcastle.edu.au,https://www.newcastle.edu.au/current-students/study-essentials/assessment-and-exams/academic-integrity,
University of Tasmania,utas.edu.au,https://www.utas.edu.au/__data/assets/pdf_file/0008/1371581/Student-Academic-Integrity-Ordinance.pdf,
James Cook University,jcu.edu.au,https://www.jcu.edu.au/students/learningcentre/during-the-study-period/academic-integrity,
Western Sydney University,westernsydney.edu.au,https://library.westernsydney.edu.au/students/academic-integrity,
Murdoch University,murdoch.edu.au,https://www.murdoch.edu.au/mymurdoch/support-advice/student-admin/complaints-appeals/academic-and-general-misconduct,
University of South Australia,unisa.edu.au,https://i.unisa.edu.au/students/student-support-services/study-support/academic-integrity-and-referencing/,
