institution,domain,integ_url,ai_url
McGill University,mcgill.ca,https://www.mcgill.ca/deanofstudents/student-rights-and-conduct/academic-integrity,
University of Alberta,ualberta.ca,https://www.ualberta.ca/en/campus-life/academic-success/academic-integrity/index.html,
University of Calgary,ucalgary.ca,https://www.ucalgary.ca/student-services/student-success/learning/academic-integrity,
Western University,uwo.ca,https://www.uwo.ca/univsec/academic_policies/rights_responsibilities.html,
University of Ottawa,uottawa.ca,https://www.uottawa.ca/current-students/academic-integrity,
Simon Fraser University,sfu.ca,https://www.sfu.ca/students/academicintegrity.html,
