draw,w_achievement,w_grad,w_quality,w_growth,n_identified,mean_poverty_identified,share_identified_top_pov_quartile
0,0.7386842756949668,0.15337042996892958,0.09452278347284826,0.013422510863255384,4694,0.7791348225629713,0.5136344269279932
1,0.3804242769700356,0.23135381728762405,0.12407387143005144,0.2641480343122889,4925,0.7632819731919545,0.4698477157360406
2,0.4351767900422211,0.3411729230064505,0.2222228923851278,0.0014273945662006127,4609,0.770840387326073,0.4964200477326969
3,0.6475581823904305,0.014019432283479934,0.23367537262143534,0.10474701270465431,4563,0.756173982450111,0.462853385930309
4,0.5163219229258814,0.17944985585862622,0.10410529965069182,0.2001229215648004,4843,0.770457215514843,0.488746644641751
5,0.27713434628693545,0.057044571042328435,0.24146048242794343,0.42436060024279276,4847,0.7374046963575634,0.41695894367650094
6,0.33791847232252,0.1017095039263002,0.1889281432166767,0.3714438805345031,4861,0.7485014606053225,0.43756428718370705
7,0.4374582293008055,0.21001379207494986,0.17314074508652655,0.17938723353771815,4723,0.7651060934980839,0.48126190980309125
8,0.31103543360851166,0.30917723895654814,0.18986300978223855,0.18992431765270174,4741,0.7620716827961213,0.47310693946424803
9,0.35165667232721964,0.27762753482407326,0.21117968582766236,0.15953610702104468,4676,0.7626324389877961,0.47775876817792984
10,0.48756772553232613,0.1281499423736823,0.19208678731369783,0.1921955447802938,4693,0.7611680267667508,0.4713402940549755
11,0.33168229988863535,0.2897843292663788,0.08875132087737476,0.28978204996761087,5082,0.7601379945703284,0.4573002754820937
12,0.2741418565579982,0.34199407279861566,0.2434114604798894,0.1404526101634967,4628,0.7592901176871447,0.47234226447709593
13,0.7211862172728676,0.026850036646052504,0.15354318498987127,0.0984205610912086,4616,0.76255199153951,0.47357019064124783
14,0.4867367799359242,0.3568728015679101,0.12308563094242607,0.033304787553739654,4794,0.7813683212948282,0.5164789319983313
15,0.4582230226118014,0.08799146479901393,0.08630842570536273,0.36747708688382186,5015,0.7545613257036488,0.446061814556331
16,0.28636433921217613,0.2108197862911426,0.08058458516839313,0.4222312893282882,5192,0.7457600814035988,0.4262326656394453
17,0.3384736565114706,0.03611557526438514,0.17197517810036683,0.4534355901237775,4937,0.7398791284234507,0.4178651002633178
18,0.35060866647491185,0.31141945128200227,0.13979495881714013,0.19817692342594578,4848,0.7670069429833201,0.4799917491749175
19,0.3538874545568882,0.2750664594879647,0.18937958855853057,0.1816664973966164,4733,0.7637703112817124,0.47792098035072894
20,0.41037047746454575,0.14201124597254128,0.12713658610393286,0.3204816904589801,4926,0.7585041340379769,0.4565570442549736
21,0.2855644652526338,0.20064880959558745,0.15003908419646006,0.36374764095531853,4974,0.7501638132445831,0.4390832328106152
22,0.20152207480293743,0.20904494594891967,0.19292919270935605,0.3965037865387867,4955,0.7420662797402369,0.4232088799192735
23,0.16697681526275598,0.24515318077486842,0.1997071191612967,0.38816288480107897,4959,0.7406669817021498,0.42064932446057673
24,0.20943076802095528,0.2747317918115286,0.18399415999309976,0.3318432801744164,4920,0.7479091303051207,0.43597560975609756
25,0.3422143179876,0.0710020715522124,0.18365970952570368,0.4031239009344839,4890,0.745106254294591,0.4296523517382413
26,0.27881121775382517,0.17161355375681417,0.12605379713745818,0.4235214313519025,5056,0.7456772921032884,0.4285996835443038
27,0.3278486088627165,0.3885007400641026,0.26214426530724544,0.02150638576593552,4564,0.7618354082721932,0.48006134969325154
28,0.5126786468571806,0.0058839194797400875,0.2119203475466711,0.2695170861164081,4712,0.749309814552546,0.44227504244482174
29,0.6753968058482787,0.027326851492258428,0.25787909450234986,0.03939724815711316,4529,0.7564354546497968,0.46323691764186353
30,0.33350288388171706,0.14872219644815218,0.24017257944476847,0.27760234022536234,4717,0.7529874612524787,0.45261818952724187
31,0.41656333859371414,0.11608011208173259,0.31237349300184697,0.15498305632270631,4565,0.7533081010536432,0.4595837897042716
32,0.3142383924326801,0.12693686979519395,0.21034343773876937,0.34848130003335653,4823,0.7483313376494337,0.4393530997304582
33,0.506568135858447,0.18968260435435916,0.10412490907046773,0.19962435071672616,4850,0.7702871842939375,0.48886597938144327
34,0.4494704931086,0.18693022336417062,0.206143721342021,0.15745556218520823,4655,0.7622859146282781,0.4781954887218045
35,0.45700491051880776,0.22562739402205104,0.23841867124974148,0.0789490242093997,4593,0.7632065029167966,0.48225560635750053
36,0.31501859477901994,0.27668988875848255,0.050921382619968286,0.35737013384252925,5239,0.7526455727926216,0.44111471654895973
37,0.4109011620536036,0.3259249472558335,0.05834470930015379,0.20482918139040915,5080,0.773947715287353,0.4899606299212598
38,0.2526870867425946,0.24937154534792957,0.1143821562273683,0.3835592116821075,5102,0.7471952509195253,0.4306154449235594
39,0.6603296824865901,0.050750372173044796,0.2549246676546124,0.03399527768575276,4531,0.7588655077488795,0.4685499889649084
40,0.30938689853764006,0.13209531288756896,0.1297672706021509,0.4287505179726401,5025,0.7460867622323466,0.4292537313432836
41,0.44221743767685384,0.09368203584089897,0.09010052489128999,0.37400000159095714,5015,0.7535585562874961,0.4444666001994018
42,0.41000875854413815,0.1326423813578233,0.088201400698227,0.36914745939981164,5049,0.7543141569408734,0.44701921172509407
43,0.31919112549941236,0.06254127375346484,0.22104304477417144,0.3972245559729514,4834,0.7422146158735624,0.4255275134464212
44,0.33087785922253005,0.23758937966826113,0.16654741472507611,0.2649853463841326,4841,0.7592094738896212,0.4610617640983268
45,0.5213104977928618,0.08285077508997811,0.0749469853954294,0.3208917417217308,4983,0.7600601365211098,0.4607666064619707
46,0.4305038701811381,0.0518082952969259,0.1144041919781052,0.40328364254383076,4976,0.7487118850939937,0.43609324758842444
47,0.4337493050761096,0.2067986078024599,0.09074846478565261,0.2687036223357779,4977,0.7662629329122405,0.4755877034358047
48,0.4209120568947241,0.032004799116275025,0.25333297720915393,0.293750166779847,4710,0.7477120679247655,0.44118895966029725
49,0.1998498064488818,0.2668043033570136,0.24236212434435891,0.2909837658497457,4771,0.7488826246065493,0.4435128903793754
50,0.48533506264598236,0.09714571708664112,0.27311489110281284,0.1444043291645637,4592,0.7558738431667283,0.4634146341463415
51,0.4683175886695934,0.22899422062479938,0.26343390482598866,0.03925428587961859,4558,0.7632289389477968,0.48310662571303203
52,0.4255647354464018,0.27708647124913266,0.09090878796111958,0.2064400053433459,4967,0.7720122431823233,0.48802093819206765
53,0.30250353287961157,0.3413312693946009,0.09075927887012483,0.2654059188556627,5086,0.7614551074169011,0.4600865119937082
54,0.41302829924803575,0.1242711443932239,0.17480445863798388,0.2878960977207566,4779,0.7568263985793114,0.45699937225360954
55,0.79669644796001,0.06275159375213439,0.09106799030950447,0.049483967978351154,4667,0.7709358439301631,0.4943218341547032
56,0.5472395006923123,0.221802000982205,0.14923192432993748,0.08172657399554528,4696,0.7750294865062234,0.5004258943781942
57,0.4680176695487581,0.11095622988793807,0.19157192760599803,0.22945417295730572,4715,0.7579854392524993,0.4608695652173913
58,0.3884972690612981,0.26644480244835234,0.06608420084744775,0.2789737276429018,5110,0.7641062068078049,0.4659491193737769
59,0.23166670242968276,0.2349510448230001,0.12274630342121559,0.4106359493261015,5112,0.7429599736318022,0.422339593114241
60,0.2574599934149619,0.31766404466070314,0.1980904443669596,0.22678551755737528,4772,0.7581991338128238,0.462070410729254
61,0.38231910306559597,0.15353280637592787,0.13172291560138719,0.33242517495708906,4934,0.7562956687208491,0.4521686258613701
62,0.280013649715815,0.36191896252303646,0.15648860912085683,0.2015787786402918,4835,0.7631667255747258,0.47114788004136504
63,0.486080266825442,0.22238967408887225,0.11965284806373128,0.17187721102195458,4807,0.7715970076097936,0.4915747867692948
64,0.4718947176016709,0.026022353871298514,0.16416089227245062,0.33792203625457995,4840,0.7493716134958518,0.44008264462809915
65,0.544467639157283,0.11818102176787587,0.21931294366898255,0.11803839540585849,4609,0.7615225563967151,0.47494033412887826
66,0.4888236484915148,0.2070619846486969,0.22431656546441056,0.0797978013953778,4608,0.7651001802690824,0.4841579861111111
67,0.3672974432781914,0.00010655229439580932,0.20135309781613567,0.4312429066112771,4882,0.7374343119280696,0.414584186808685
