state,ncessch,school_code,school_name,score,running,cutoff,treat,titlei,grad_rate,econ_disadv_share,achievement,enrollment,is_high,next_score,award,got_funds,sharpness
WA,530282002298,4480,Meredith Hill Elementary School,3.65,1.375,2.275,0,False,,0.5201793721973094,40.0,502.0,0.0,3.4,0.0,0,0.9989811512990321
WA,531017002502,4481,Zillah Middle School,4.15,1.8750000000000004,2.275,0,False,,0.6323529411764706,50.5,216.0,0.0,4.7,0.0,0,0.9989811512990321
WA,530285002495,4482,Eagleridge Elementary,3.85,1.5750000000000002,2.275,0,False,,0.6176470588235294,38.0,491.0,0.0,2.9,0.0,0,0.9989811512990321
WA,530495002487,4483,Hallett Elementary School,8.1,5.824999999999999,2.275,0,True,,0.5343511450381679,58.0,556.0,0.0,8.65,0.0,0,0.9989811512990321
WA,530393002009,4484,Southridge High School,5.4,3.1250000000000004,2.275,0,True,,,57.0,1775.0,1.0,4.9,0.0,0,0.9989811512990321
WA,530396002521,4485,Northwood Middle School,5.0,2.725,2.275,0,False,,0.3321100917431193,59.0,596.0,0.0,5.5,0.0,0,0.9989811512990321
WA,530711002537,4486,Rainier Elementary School,7.63,5.355,2.275,0,True,,0.5226130653266332,49.5,477.0,0.0,6.75,0.0,0,0.9989811512990321
WA,530537002543,4487,East Valley Elementary,6.05,3.775,2.275,0,True,,0.6259259259259259,58.5,584.0,0.0,5.9,0.0,0,0.9989811512990321
WA,530396002522,4489,Glenridge Elementary,6.7,4.425000000000001,2.275,0,True,,0.5818181818181818,62.0,495.0,0.0,6.45,0.0,0,0.9989811512990321
WA,530936002514,4490,Saddle Mountain Elementary,4.6,2.3249999999999997,2.275,0,True,,0.944206008583691,17.0,477.0,0.0,4.95,31227.0,1,0.9989811512990321
WA,530492002599,4491,Mt Spokane High School,7.6,5.324999999999999,2.275,0,False,,0.2881773399014778,67.0,1661.0,1.0,7.05,0.0,0,0.9989811512990321
WA,530396002570,4492,Kentlake High School,5.3,3.025,2.275,0,False,,0.3565217391304348,57.0,1508.0,1.0,5.2,0.0,0,0.9989811512990321
WA,530375002518,4493,Endeavour Elementary School,9.95,7.674999999999999,2.275,0,False,,0.0728862973760933,83.0,588.0,0.0,9.95,0.0,0,0.9989811512990321
WA,530682002505,4494,Dry Creek Elementary,3.6,1.3250000000000002,2.275,0,True,,0.7391304347826086,39.5,286.0,0.0,5.38,0.0,0,0.9989811512990321
WA,530375002567,4495,Skyline High School,9.6,7.324999999999999,2.275,0,False,,0.0482625482625482,87.0,2230.0,1.0,9.6,0.0,0,0.9989811512990321
WA,530696002530,4496,Edward Zeiger Elem,4.5,2.225,2.275,0,True,,0.3740458015267175,58.5,560.0,0.0,4.1,30964.0,1,0.9989811512990321
WA,530867002544,4497,Pioneer Elementary School,3.15,0.875,2.275,0,True,,0.8905109489051095,42.5,691.0,0.0,2.75,0.0,0,0.9989811512990321
WA,530270002510,4498,Frontier Middle School,3.9,1.625,2.275,0,False,,0.4980793854033291,40.5,818.0,0.0,3.95,0.0,0,0.9989811512990321
WA,530270002511,4499,Fishers Landing Elementary School,9.2,6.924999999999999,2.275,0,False,,0.2163934426229508,74.0,592.0,0.0,7.95,0.0,0,0.9989811512990321
WA,530910002602,4500,A G West Black Hills High School,7.3,5.025,2.275,0,False,,0.2453703703703703,62.0,867.0,1.0,7.35,0.0,0,0.9989811512990321
WA,530502002526,4501,Methow Valley Elementary,5.03,2.7550000000000003,2.275,0,True,,0.396039603960396,57.5,407.0,0.0,4.2,0.0,0,0.9989811512990321
WA,530861002580,4502,Mountain View Middle School,6.55,4.275,2.275,0,False,,0.2981029810298103,66.5,830.0,0.0,6.6,0.0,0,0.9989811512990321
WA,530927002018,4503,Discovery Middle School,1.25,-1.025,2.275,1,True,,0.75920245398773,27.5,687.0,0.0,1.25,47415.0,1,0.9989811512990321
WA,530927002555,4504,Skyview High School,7.9,5.625,2.275,0,False,,0.2957110609480812,56.5,1801.0,1.0,7.25,0.0,0,0.9989811512990321
WA,530033002452,4505,Woodward Middle School,7.98,5.705,2.275,0,False,,0.0883458646616541,84.0,524.0,0.0,8.48,0.0,0,0.9989811512990321
WA,530081002512,4508,Skyridge Middle School,9.63,7.355,2.275,0,False,,0.1101591187270501,78.5,791.0,0.0,9.4,0.0,0,0.9989811512990321
WA,530108002524,4509,Klahowya Secondary,6.12,3.845,2.275,0,False,,0.339041095890411,58.5,1048.0,1.0,5.8,0.0,0,0.9989811512990321
WA,530540002585,4511,Mount Baker Middle School,2.45,0.17500000000000027,2.275,0,True,,0.6479289940828402,38.5,717.0,0.0,2.5,36045.0,1,0.9989811512990321
WA,530834002595,4512,Port Susan Middle School,7.58,5.305,2.275,0,False,,0.2842741935483871,69.5,524.0,0.0,7.5,0.0,0,0.9989811512990321
WA,530834002596,4513,Cedarhome Elementary School,8.18,5.904999999999999,2.275,0,False,,0.2552447552447552,71.0,559.0,0.0,6.9,0.0,0,0.9989811512990321
WA,530042002693,4515,Squalicum High School,5.95,3.6750000000000003,2.275,0,False,,0.3447204968944099,55.5,1275.0,1.0,5.45,0.0,0,0.9989811512990321
WA,530591002571,4516,Timbercrest Middle School,7.55,5.275,2.275,0,False,,0.0650195058517555,76.0,781.0,0.0,8.65,0.0,0,0.9989811512990321
WA,530462002605,4517,Vossbeck Elementary School,5.1,2.8249999999999997,2.275,0,True,,0.4206008583690987,65.0,533.0,0.0,5.85,0.0,0,0.9989811512990321
WA,530948002611,4518,Adams Elementary,3.3,1.025,2.275,0,True,,0.9602803738317756,25.0,407.0,0.0,2.1,34538.0,1,0.9989811512990321
WA,530783002617,4519,Sequim Middle School,4.6,2.3249999999999997,2.275,0,True,,0.5308848080133556,58.0,627.0,0.0,4.15,31307.0,1,0.9989811512990321
WA,530396000619,4520,Kent Elementary School,3.2,0.9250000000000003,2.275,0,True,,0.7890410958904109,33.0,723.0,0.0,4.0,0.0,0,0.9989811512990321
WA,530564002680,4521,Lakeside Middle School,8.7,6.424999999999999,2.275,0,False,,0.2492401215805471,64.0,346.0,0.0,9.25,0.0,0,0.9989811512990321
